title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(Km),motor(W),maximum_speed(km/hr)
Drive ev motors Hiroshi mini 10 inches Single Speed Lithium Iron,DRIVE,65000,57850,7150,11.00%,3.82,55,5.2,4,13.75,68,250,25
Uboard Hybrid Bike 10 inches Single Speed Lithium-ion (Li-ion) El,UBOARD,49999,38474,11525,23.05%,3.82,55,8.4,8,13.75,68,624,30
VigorEbike VX 20 inches Single Speed Lithium-ion (Li-ion) Electri,VIGOREBIKE,71999,51416,20583,28.59%,3.82,55,8.4,1,3,68,624,26
Neelam PRIZM-ICEBLUE-26T-10.4AH 26 inches Single Speed Lithium-io,NEELAM,33489,27350,6139,18.33%,2.88,2,10.4,4,13.75,45,979,26
MATELCO ULTRA EA26 DT 26 inches Single Speed Lithium-ion (Li-ion),MATELCO,34999,26789,8210,23.46%,2.8,6,5.2,4,1,68,529,26
Neelam Shockbuzz-NI-1.0-7.8AH-27.5T 27.5 inches Single Speed Lith,NEELAM,33341,27683,5658,16.97%,2.88,2,7.8,4,13.75,45,529,26
SVITCH Lite Xe 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cyc,SVITCH,85399,57300,28099,32.90%,3.82,55,5.69,5,13.75,68,532,25
SVITCH Velono 26 inches Single Speed Lithium-ion (Li-ion) Electri,SVITCH,29999,25628,4371,14.57%,3.82,55,5.2,5,13.75,68,792,25
Motovolt HUM 24 Black Range upto 105 Km in PAS Mode 24 inches Sin,MOTOVOLT,51999,41899,10100,19.42%,3.6,7,16,4,4,105,250,26
Motovolt Kivo Solid Grey Satin Range upto 105 Km in PAS Mode 26 i,MOTOVOLT,38999,38399,600,1.54%,4,32,16,4,8.63,105,529,26
VigorEbike Vigor X45 Black 20 inches Single Speed Lithium-ion (Li,VIGOREBIKE,89999,57599,32400,36.00%,3.82,55,8.4,1,3,68,532,26
Neelam SHOCKBUZZ-FATBIKE-4.0-7.8AH 26 inches Single Speed Lithium,NEELAM,45000,35496,9504,21.12%,2.88,2,7.8,4,13.75,45,546,26
LECTRO Y5+ 27.5 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,LECTRO,34990,34490,500,1.43%,3.6,10,5.2,2,3.5,68,529,26
Motovolt Kivo 24 Carbon Grey upto 75 Km Range in PAS Mode 24 inch,MOTOVOLT,44999,35599,9400,20.89%,4.3,8,12,4,3,67,1,26
Motovolt HUM 24 Carbon Grey Range upto 105 Km in PAS Mode 24 inch,MOTOVOLT,51999,41899,10100,19.42%,3.6,7,16,4,4,105,250,26
Hoopoe Bikes XO-Ride Conqueror Electric Cycle – 250W Motor | 36V,HOOPOE,79999,54547,25452,31.82%,3.82,55,13,4,36,68,250,25
Motovolt Kivo Red Range upto 75 Km in PAS Mode 26 inches Single S,MOTOVOLT,44999,35599,9400,20.89%,4,32,12,4,8.63,75,529,26
Motovolt Kivo Solid Grey Satin Range upto 75 Km in PAS Mode 26 in,MOTOVOLT,44999,35599,9400,20.89%,4,32,12,4,8.63,75,529,26
Motovolt Kivo 24 Lilac upto 45 Km Range in PAS Mode 24 inches Sin,MOTOVOLT,35999,30999,5000,13.89%,4.3,8,6,4,3,67,1,26
SVITCH XE+ 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,SVITCH,118999,112871,6128,5.15%,3.82,55,5.2,5,13.75,68,529,25
SVITCH Elegon 26 inches Single Speed Lithium-ion (Li-ion) Electri,SVITCH,30999,29529,1470,4.74%,3.82,55,5.2,5,13.75,68,532,25
Motovolt Kivo Easy Aqua Blue upto 75 Km Range in PAS Mode 26 inch,MOTOVOLT,42999,35599,7400,17.21%,3.8,95,12,4,8.63,67,4,26
SVITCH Lite Xe 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cyc,SVITCH,85399,83408,1991,2.33%,3.82,55,5.69,5,13.75,68,532,25
Motovolt HUM 24 Nova Blue Range upto 45 Km in PAS Mode 24 inches,MOTOVOLT,41999,35399,6600,15.71%,3.6,7,6,4,4,45,529,26
Motovolt Kivo Easy Neon Satin upto 75 Km Range in PAS Mode 26 inc,MOTOVOLT,42999,35599,7400,17.21%,3.8,95,12,4,8.63,67,4,26
SVITCH MXE 20 inches 7 Gear Lithium-ion (Li-ion) Electric Cycle,SVITCH,66500,49633,16867,25.36%,3.82,55,5.69,5,13.75,68,624,25
