title,brand_name,original_price,discount_price,discount_amount,discount_percentage,rating,review_count,battery_capacity(Ah),battery_life(year),battery_voltage(V),mileage_per_charge(km),motor(W),maximum_speed(km/hr)
Neelam SHOCKBUZZ Static | 26T Electric Cycle for Men & Women | 250W Motor | Inbuilt 7.8Ah Battery | Disc Brakes | Suspension | Mettalic Copper,Neelam,31241,26999,4242,13.58%,4.51,5,7.8,2,500,27,25,25
"NEXOVA 14 T Rocky SkyBlue Cycle 14 T Inch Road Cycle (Single Speed, Blue, Rigid)",NEXOVA,9629,6419,3210,33.34%,4.08,69,17.56,5,500,48,26,25
"NINETY ONE E Cycle Series (Madrid - White Yellow, 27.5T - 21 Speed)",NINETY,30000,22999,7001,23.34%,4.1,216,7.65,1,500,17,26,25
Ninety ONE E-Drago 27.5T Single Speed Electric Cycle with 7.65Ah Removable Battery,Ninety,42000,39999,2001,4.76%,5,2,7.65,1,500,55,26,25
"Ninety ONE Viper 27.5T 21 Speed Hybrid Bike (Ideal for: 12+ Years, Brake: Disc)",Ninety,30000,21650,8350,27.83%,4.2,70,7.65,1,500,36,26,25
"Ride The Change Alpha A Lite Unisex Electric Cycle, 90% Assembled (26 Inches Frame, Single Speed, 5.2Ah Li-ion Battery, Lightweight Design, 250W Motor, Matte Black)",Ride,25410,25410,0,0.00%,4.08,69,5.2,1,500,48,25,25
"Series E Electric Cycle 26"" Fat Tyres with Front Suspension Dual Disc Brakes 21-Speed Gears Fast Charging Up to 40 Km Range on PAS Make in India Certified (Grey)",Series,55999,44999,11000,19.64%,4.08,69,5.8,1,500,40,26,25
Stormrider 26x4” Electric Fat Bike for Adults | 350W Rust & Waterproof Powertrain | Patented 36V 13Ah Swappable Battery | Headlight & Horn | Pedal Assist + Throttle Mode- Red,Stormrider,54999,46999,8000,14.55%,4.7,12,13,1,36,105,35,25
Stryder Airborne 26T Fat Tyre Electric Cycle for Men & Women (5.2–6 Ft) | 250W Motor | 10.4Ah Removable Battery | 40KM Range | Dual Disc Brakes | Front Suspension | Color LCD E-Bike,Stryder,44595,44590,5,0.01%,5,1,10.4,1,500,40,25,25
"Stryder DYNAMIQ 27.5"" Electric Cycle for Men and Women with 8.7Ah Removable Li-Ion NMC Battery, Intelligent Digital SOC Throttle, Hi-Tensile Steel Frame, up to 35 KM PAS Range, Unisex Electric Bicycle",Stryder,35295,31371,3924,11.12%,3.07,4,8.7,1,500,35,25,25
Stryder E-Vibe 27T Electric Cycle for Men & Women (5.2–6 Ft) | 250W BLDC Motor | 36V 8.7Ah Li-ion Battery | Dual Disc Brakes | Front Suspension | USB Charging | Password Display | E-Bike (Grey),Stryder,35495,30994,4501,12.68%,3.2,11,8.7,1,36,35,25,25
Stryder Zeeta Plus 27.5T Electric Bicycle/Cycle | 36V Li-Ion Battery | 250W BLDC Motor | Single Speed Rigid Suspension | Adjustable Seat Height | Ideal for 12+ Years (Green) 6015000050,Stryder,32995,28199,4796,14.54%,3.07,4,10.4,1,36,30,25,25
Stryder Zeeta Plus IC 27.5T Electric Bicycle/Cycle | 36V Li-Ion Battery | Single Speed Rigid Suspension|Dual Disc Brake with Auto Cut Functionality |Adjustable Seat Height| Ideal for 12+ Years (Black),Stryder,10241,10241,0,0.00%,1,1,7.65,2,36,30,25,25
Sunspeed Skyride BMV X6 Cycle 6 Spoke Blue & White Foldable Bicycle with 21 Speed Gear with Dual Disc Brake Carbon Frame Suspension for Men 26 inch Wheel Size,Sunspeed,29999,10991,19008,63.36%,3.3,244,17.56,1,500,48,26,25
SVITCH ELEGON Electric Bicycle for Man and Woman | Battery: 10.4 AH LI-ION | Motor: 36V 250W | Headlight: 280LM | INBUILT Horn | Front Fork Suspension | Range: 35-40 КМ ON Throttle (Silver),SVITCH,30999,30999,0,0.00%,4.2,4,10.4,1,36,50,25,25
